"GiftId","TripId"
66128,38
46746,393
90431,1514
33000,725
96233,725
73601,725
80107,141
32850,1327
46687,666
69169,289
71095,141
65177,1686
20120,666
4151,916
93025,793
57448,916
1148,760
51594,554
87423,793
60369,1514
59903,1704
60161,1704
83903,793
54171,1686
14726,793
27024,1704
74991,1352
73630,793
80194,698
14068,1781
31594,1364
51719,856
2407,798
20030,760
41649,798
23204,224
5712,1156
43025,916
10033,698
37142,1360
92459,698
37147,1514
77527,1022
10217,1217
31341,35
28139,698
53748,289
33551,1360
69572,1514
39168,916
97516,798
70371,950
14647,38
21808,1514
39597,666
54697,641
36655,692
7867,698
98527,38
87545,725
23531,1342
8471,289
61256,1096
23904,554
71376,1342
12455,641
82724,35
86437,793
20092,671
79490,760
23554,38
81895,38
78833,1245
1264,698
9406,950
99183,393
91870,35
65463,241
77372,1352
49676,666
61570,936
83875,760
8605,666
68230,35
5887,393
49287,38
24585,393
18462,641
6423,864
86684,1027
3319,1199
58170,517
72881,393
49231,798
35536,1217
50185,1013
89667,636
30906,916
84407,950
24309,141
61608,529
98298,1245
51134,870
38392,1205
24671,864
74945,1075
62834,1524
76960,529
95444,671
67071,1013
69504,1022
82176,393
72537,141
87946,1430
25197,554
78740,1059
37246,417
63277,141
7856,1514
5891,870
86717,393
48735,793
41178,1096
15933,141
1277,517
49424,1145
62435,224
94010,38
22628,666
15129,1352
15968,224
86936,1022
22174,38
3374,1514
1562,1256
52381,1795
44714,1185
40138,1256
87928,1813
48545,666
13686,1245
46996,38
99800,393
52593,1539
97441,1795
43279,1364
79777,1352
51935,936
55310,1059
44797,1256
84813,1352
68421,1181
94100,417
14357,1199
63510,61
47210,964
94730,1781
65386,1059
55661,1795
63378,393
5027,666
50476,870
74614,795
61954,1378
97066,666
80013,1514
8257,936
74798,517
34161,870
33526,517
5588,793
80241,224
36759,241
50797,616
46710,1205
9127,1430
82858,1205
74561,1813
22512,224
1433,793
42128,1514
91468,698
81853,376
25574,725
2410,1223
6008,1430
7219,393
75869,1185
32957,35
47216,725
89030,870
22896,1514
31957,1592
70435,1352
25731,641
49657,641
13988,936
9755,323
89893,1262
12284,579
34414,916
83921,1378
94731,1704
79234,666
8861,503
16981,1352
80398,1156
88138,671
19720,1497
72098,1276
64825,1262
32770,725
62703,1256
54108,641
9761,793
33492,451
9760,507
95595,1704
6746,554
27764,554
67444,760
85524,1813
54582,241
45906,35
95477,666
84023,503
68261,38
53441,141
96086,1514
21630,1121
38596,1813
94856,793
61446,925
83884,1245
41475,795
15637,1205
10491,725
35905,616
64207,358
20121,393
32822,636
17108,212
12745,864
69846,760
59616,760
11694,698
95182,1704
36938,636
6230,507
48669,1769
57835,1539
11483,641
11763,795
23964,1327
35230,1514
86962,141
41996,793
45037,1168
76926,790
92557,1704
70730,517
80940,1530
18906,1352
92875,212
50544,119
42464,1256
72479,1769
80089,38
17029,1795
27596,793
925,38
21018,1256
4800,1181
26242,1514
91049,503
15371,1022
45224,393
66347,1156
75550,1156
93906,1704
30446,760
29523,1059
65260,141
83401,212
33921,1059
54679,1181
7134,554
76679,1327
62723,42
98019,1530
34927,1245
49471,554
90979,1262
2027,503
28289,38
34833,641
60234,1066
19960,870
17977,358
6739,1497
56035,1364
58424,141
18866,35
75815,1256
75292,579
12202,554
35787,793
4410,393
28893,517
70427,748
28321,1327
56740,1181
89119,393
57331,1299
38662,798
68487,1718
14237,397
38926,358
22392,1327
71761,785
99455,1022
1340,1140
90804,1140
64551,793
99370,141
85539,856
79827,141
56028,941
95771,1704
90956,1181
5227,748
29970,793
1785,141
31980,1686
63151,38
89309,1223
51533,393
17970,760
69929,1430
40403,141
33270,1769
42457,451
75198,141
86180,1781
46200,785
60865,671
84225,1530
28845,795
73452,393
40541,1256
83521,1140
46441,1066
76208,517
74970,358
67005,141
30434,141
20080,1686
76181,554
38452,1081
20154,1276
85523,1455
82756,1013
61455,554
7099,636
600,698
4112,393
15956,323
63221,451
91756,790
48351,358
45982,636
8457,517
55854,1514
30996,1327
62805,1704
39888,692
42986,641
4992,393
36188,1205
38035,795
78971,1795
79586,692
63266,851
73262,1360
25650,1674
49423,38
3905,998
75410,35
89995,793
32779,936
84606,358
49867,666
88958,289
27690,105
41363,417
20451,1352
85985,1145
13808,180
71367,1181
12673,1420
44167,1066
47790,38
62243,793
38199,636
46584,141
60118,376
98166,666
3883,376
51898,1352
50806,417
41191,35
81409,61
54547,1795
25076,358
26973,1813
28192,517
8426,1497
39162,1223
99700,1181
9640,1514
5509,579
29851,323
21071,1075
24580,785
29999,993
14398,212
49099,950
90379,1352
991,870
88925,1514
65901,1205
26115,725
23537,554
70434,61
3797,1059
43544,870
72399,554
4213,1212
18282,1059
51828,358
3975,1781
84624,666
34027,743
70357,38
58087,698
6103,870
21420,1622
43246,795
97973,725
33787,1276
94426,636
12014,313
69943,976
99678,1352
53974,666
80818,666
31826,241
81960,795
83808,1686
52934,224
11177,795
46619,554
39895,1408
24574,795
69796,38
12241,993
42305,725
94808,1040
24809,451
31650,241
11513,149
16874,517
84439,149
79406,1514
13736,38
88948,795
1513,851
48723,1205
47811,141
14120,1145
4218,1558
28926,538
48967,1497
95172,1327
76479,323
70195,1027
16228,1704
85702,1374
87760,793
10427,1092
98743,507
22232,1096
63118,725
47390,1027
91908,1223
53326,1245
64839,1622
63251,698
71845,641
43002,936
91669,1059
41689,1387
24530,61
41747,698
90692,1223
94537,936
58463,397
48879,38
33296,1484
66008,793
54091,851
13305,1223
26201,284
37128,393
35388,793
43358,503
41347,1185
44960,1514
3971,1558
98047,1066
82841,1096
33412,212
80720,393
47868,141
98521,870
13819,616
14206,1156
44906,698
16108,1638
12222,698
23929,451
13636,1514
14601,1497
97648,1262
78585,417
24151,798
21806,1205
55330,1245
95287,851
27735,313
37539,224
33540,1322
53556,698
83036,1027
89936,793
72970,656
66961,1781
22183,1040
6152,1276
39627,298
80263,397
54609,1205
13985,1638
35635,1027
72912,1704
7155,1558
42394,1271
87112,397
42693,870
5600,503
60048,241
72982,616
44142,725
27015,38
18602,1497
83374,517
38773,1352
79380,1813
55328,1262
14621,1075
53191,641
88033,180
39941,1592
81940,790
83826,323
42162,1322
84588,503
83871,1181
5556,393
57602,1245
80351,1059
66506,1745
4848,323
99307,517
30984,1156
31879,554
40365,1484
53966,554
46231,1223
91496,241
68018,743
66624,38
43160,1101
25625,698
9492,725
51693,1813
45499,698
40356,1130
45099,641
4325,358
76950,38
28261,503
40410,1497
61541,35
86367,141
34138,1181
75285,1497
44954,1040
89543,323
89203,1156
64700,1013
33335,725
44936,1704
95128,1262
17134,224
20351,856
80943,241
54722,358
11937,1514
18806,1558
50822,1514
11761,14
63695,1497
48915,856
42706,1718
69173,241
76902,323
33893,878
6349,793
1391,61
45851,698
32022,313
4617,616
64596,1059
77071,656
15359,1777
87503,1622
95684,616
79487,641
99169,1374
87276,1205
77195,61
62502,1352
9954,503
66117,666
15083,529
9938,1592
6334,698
42614,38
2103,393
271,38
56037,38
34977,1035
23435,1352
63062,1558
44062,1514
79119,35
35320,1514
68448,1027
46296,451
78291,1514
16225,760
91636,1145
60819,1534
46221,725
5110,1514
88004,554
98551,1592
56576,1150
68102,878
23271,1813
39337,752
65750,1781
9713,1480
40686,1276
66851,14
30939,1480
3946,1497
50122,1622
12596,1813
40712,1342
90091,1534
85689,194
59422,1126
84485,358
53942,870
51549,298
79546,38
68902,224
23521,752
78012,1745
12252,1223
13240,38
88339,1813
59394,61
13841,38
29614,105
93394,793
23285,156
37400,451
57077,752
62622,194
89148,298
36931,61
30303,1140
86802,1342
23658,393
9138,793
80867,451
33658,1360
55520,358
63778,616
2972,86
23230,870
81257,1217
89319,1245
72935,411
