"GiftId","TripId"
66128,967
46746,1368
90431,1610
33000,1631
96233,1631
73601,1631
80107,1093
32850,1425
46687,1745
69169,867
71095,1093
65177,892
20120,1745
4151,282
93025,1368
57448,282
1148,1087
51594,1199
87423,1368
60369,1610
59903,1087
60161,372
83903,1368
54171,1567
14726,1368
27024,372
74991,1685
73630,1368
80194,981
14068,1635
31594,405
51719,905
2407,1328
20030,1087
41649,1635
23204,1672
5712,118
43025,282
10033,981
37142,1453
92459,981
37147,1610
77527,143
10217,1117
31341,1685
28139,981
53748,637
33551,1453
69572,1610
39168,282
97516,1635
70371,1689
14647,967
21808,1610
39597,1631
54697,363
36655,1353
7867,981
98527,967
87545,1631
23531,1332
8471,637
61256,1379
23904,1199
71376,1080
12455,363
82724,1685
86437,1610
20092,1323
79490,1087
23554,967
81895,967
78833,86
1264,981
9406,554
99183,534
91870,1745
65463,1316
77372,1685
49676,1631
61570,86
83875,1087
8605,1631
68230,1745
5887,534
49287,967
24585,534
18462,363
6423,554
86684,919
3319,1694
58170,22
72881,1368
49231,1328
35536,1117
50185,395
89667,614
30906,1544
84407,1689
24309,1093
61608,1080
98298,167
51134,326
38392,1626
24671,1562
74945,1639
62834,798
76960,1080
95444,1323
67071,395
69504,143
82176,1368
72537,1093
87946,1544
25197,1199
78740,302
37246,558
63277,1093
7856,1610
5891,326
86717,534
48735,1368
41178,1379
15933,1093
1277,22
49424,655
62435,1672
94010,967
22628,1745
15129,1093
15968,1672
86936,143
22174,967
3374,1610
1562,1719
52381,1694
44714,1553
40138,1719
87928,569
48545,1631
13686,167
46996,967
99800,534
52593,935
97441,215
43279,1567
79777,1685
51935,1579
55310,1443
44797,1719
84813,1685
68421,1802
94100,1709
14357,1694
63510,580
47210,1372
94730,1635
65386,302
55661,215
63378,534
5027,1631
50476,326
74614,628
61954,935
97066,1745
80013,1610
8257,1579
74798,1639
34161,1316
33526,22
5588,1368
80241,1672
36759,1316
50797,1585
46710,1626
9127,867
82858,1626
74561,221
22512,1672
1433,1368
42128,1610
91468,981
81853,647
25574,1631
2410,1164
6008,867
7219,534
75869,1616
32957,1685
47216,534
89030,1316
22896,1610
31957,558
70435,1685
25731,919
49657,363
13988,1579
9755,221
89893,228
12284,896
34414,282
83921,935
94731,372
79234,1745
8861,747
16981,1685
80398,118
88138,1572
19720,1443
72098,1041
64825,363
32770,1631
62703,1719
54108,919
9761,1368
33492,15
9760,1553
95595,372
6746,1199
27764,1199
67444,1087
85524,569
54582,1316
45906,1745
95477,1631
84023,747
68261,967
53441,1093
96086,1610
21630,610
38596,221
94856,1368
61446,1190
83884,86
41475,628
15637,1626
10491,1631
35905,1585
64207,1069
20121,534
32822,77
17108,1616
12745,1562
69846,1087
59616,1199
11694,981
95182,372
36938,77
6230,1553
48669,1401
57835,1719
11483,363
11763,628
23964,1425
35230,1610
86962,1093
41996,1368
45037,459
76926,1235
92557,372
70730,22
80940,792
18906,1685
92875,569
50544,343
42464,1719
72479,1401
80089,967
17029,215
27596,1368
925,967
21018,1719
4800,1250
26242,1610
91049,747
15371,143
45224,534
66347,1453
75550,118
93906,372
30446,1087
29523,1443
65260,372
83401,1616
33921,302
54679,1802
7134,1199
76679,118
62723,1177
98019,792
34927,167
49471,1199
90979,363
2027,747
28289,967
34833,363
60234,485
19960,326
17977,1069
6739,1579
56035,1567
58424,372
18866,1745
75815,1719
75292,1476
12202,1199
35787,1368
4410,534
28893,22
70427,169
28321,1425
56740,1250
89119,534
57331,285
38662,1328
68487,941
14237,1700
38926,1069
22392,1425
71761,485
99455,143
1340,1689
90804,112
64551,1368
99370,1093
85539,1323
79827,372
56028,549
95771,372
90956,1250
5227,1736
29970,1368
1785,1093
31980,1567
63151,967
89309,1320
51533,534
17970,1087
69929,867
40403,1093
33270,1401
42457,15
75198,1093
86180,1635
46200,485
60865,1572
84225,459
28845,628
73452,534
40541,1719
83521,112
46441,485
76208,22
74970,1069
67005,1093
30434,372
20080,892
76181,326
38452,1009
20154,1235
85523,1764
82756,395
61455,326
7099,614
600,981
4112,534
15956,221
63221,15
91756,1226
48351,1069
45982,614
8457,22
55854,1610
